Gene stable ID	Transcript stable ID	Protein stable ID	Gene name	NCBI gene (formerly Entrezgene) ID
YNL103W	YNL103W_mRNA	YNL103W	MET4	
YAL012W	YAL012W_mRNA	YAL012W	CYS3	851221
YJL148W	YJL148W_mRNA	YJL148W	RPA34	853293
YER039C-A	YER039C-A_mRNA	YER039C-A		856762
YKL162C-A	YKL162C-A_mRNA	YKL162C-A		
YDR421W	YDR421W_mRNA	YDR421W	ARO80	852031
YGL051W	YGL051W_mRNA	YGL051W	MST27	852830
YER058W	YER058W_mRNA	YER058W	PET117	856786
YNL243W	YNL243W_mRNA	YNL243W	SLA2	855478
YGL220W	YGL220W_mRNA	YGL220W		852652
YDL186W	YDL186W_mRNA	YDL186W		851340
YER110C	YER110C_mRNA	YER110C	KAP123	856846
YLL027W	YLL027W_mRNA	YLL027W	ISA1	850632
YER135C	YER135C_mRNA	YER135C		
YOL060C	YOL060C_mRNA	YOL060C	MAM3	854094
YCL051W	YCL051W_mRNA	YCL051W	LRE1	850306
YBL049W	YBL049W_mRNA	YBL049W	MOH1	852231
YOL102C	YOL102C_mRNA	YOL102C	TPT1	854051
YGR065C	YGR065C_mRNA	YGR065C	VHT1	852956
YMR292W	YMR292W_mRNA	YMR292W	GOT1	855337
YBL021C	YBL021C_mRNA	YBL021C	HAP3	852260
YPR026W	YPR026W_mRNA	YPR026W	ATH1	856137
YLR421C	YLR421C_mRNA	YLR421C	RPN13	851140
YHR054W-A	YHR054W-A_mRNA	YHR054W-A		
tY(GUA)J2	tY(GUA)J2_tRNA		SUP4	
YPR154W	YPR154W_mRNA	YPR154W	PIN3	856277
YAL058W	YAL058W_mRNA	YAL058W	CNE1	851241
YDR119W-A	YDR119W-A_mRNA	YDR119W-A	COX26	3799970
YJR055W	YJR055W_mRNA	YJR055W	HIT1	853516
YMR273C	YMR273C_mRNA	YMR273C	ZDS1	855316
YHL008C	YHL008C_mRNA	YHL008C		856381
YNL212W	YNL212W_mRNA	YNL212W	VID27	855509
YDR429C	YDR429C_mRNA	YDR429C	TIF35	852039
YCL027W	YCL027W_mRNA	YCL027W	FUS1	850330
YCR030C	YCR030C_mRNA	YCR030C	SYP1	850396
YGR048W	YGR048W_mRNA	YGR048W	UFD1	852939
YPL249C	YPL249C_mRNA	YPL249C	GYP5	855827
YLR165C	YLR165C_mRNA	YLR165C	PUS5	850862
YDR220C	YDR220C_mRNA	YDR220C		
YDR263C	YDR263C_mRNA	YDR263C	DIN7	851856
YBR187W	YBR187W_mRNA	YBR187W	GDT1	852485
YOR244W	YOR244W_mRNA	YOR244W	ESA1	854418
YBR201C-A	YBR201C-A_mRNA	YBR201C-A		3799967
YBR074W	YBR074W_mRNA	YBR074W		852366
YDL195W	YDL195W_mRNA	YDL195W	SEC31	851332
YDR007W	YDR007W_mRNA	YDR007W	TRP1	851570
YOL014W	YOL014W_mRNA	YOL014W		854146
YLR059C	YLR059C_mRNA	YLR059C	REX2	850748
YML130C	YML130C_mRNA	YML130C	ERO1	854909
YBR223C	YBR223C_mRNA	YBR223C	TDP1	852525
tP(UGG)Q	tP(UGG)Q_tRNA			
YCR018C-A	YCR018C-A_mRNA	YCR018C-A		
YER019W	YER019W_mRNA	YER019W	ISC1	856739
YIR016W	YIR016W_mRNA	YIR016W		854833
YIL069C	YIL069C_mRNA	YIL069C	RPS24B	856805
YIL069C	YIL069C_mRNA	YIL069C	RPS24B	854741
YLR440C	YLR440C_mRNA	YLR440C	SEC39	851161
YIL102C	YIL102C_mRNA	YIL102C		854704
YER042W	YER042W_mRNA	YER042W	MXR1	856765
YBL069W	YBL069W_mRNA	YBL069W	AST1	852209
YML116W	YML116W_mRNA	YML116W	ATR1	854924
YHR058C	YHR058C_mRNA	YHR058C	MED6	856455
YMR265C	YMR265C_mRNA	YMR265C		855307
YDL169C	YDL169C_mRNA	YDL169C	UGX2	851385
YPL109C	YPL109C_mRNA	YPL109C		855995
YPL204W	YPL204W_mRNA	YPL204W	HRR25	855897
YLR365W	YLR365W_mRNA	YLR365W		
YOR047C	YOR047C_mRNA	YOR047C	STD1	854212
YLR222C	YLR222C_mRNA	YLR222C	UTP13	850919
YPR183W	YPR183W_mRNA	YPR183W	DPM1	856313
YOR396C-A	YOR396C-A_mRNA	YOR396C-A		
YER077C	YER077C_mRNA	YER077C	MRX1	856810
YDR348C	YDR348C_mRNA	YDR348C	PAL1	851949
YKL030W	YKL030W_mRNA	YKL030W		
YGR295C	YGR295C_mRNA	YGR295C	COS6	853212
YER039C	YER039C_mRNA	YER039C	HVG1	856761
YPL230W	YPL230W_mRNA	YPL230W	USV1	855871
YFL007W	YFL007W_mRNA	YFL007W	BLM10	850541
YLR371W	YLR371W_mRNA	YLR371W	ROM2	851086
YMR061W	YMR061W_mRNA	YMR061W	RNA14	855083
YPL159C	YPL159C_mRNA	YPL159C	PET20	855944
YMR288W	YMR288W_mRNA	YMR288W	HSH155	855332
YMR166C	YMR166C_mRNA	YMR166C	MME1	855202
YHR142W	YHR142W_mRNA	YHR142W	CHS7	856545
YJR111C	YJR111C_mRNA	YJR111C	PXP2	853575
YPL152W	YPL152W_mRNA	YPL152W	RRD2	855951
YJR113C	YJR113C_mRNA	YJR113C	RSM7	853578
YDR230W	YDR230W_mRNA	YDR230W		
YDR131C	YDR131C_mRNA	YDR131C		851709
YEL020W-A	YEL020W-A_mRNA	YEL020W-A	TIM9	856693
YLR116W	YLR116W_mRNA	YLR116W	MSL5	850807
YIR040C	YIR040C_mRNA	YIR040C		
YLR013W	YLR013W_mRNA	YLR013W	GAT3	850700
YBR125C	YBR125C_mRNA	YBR125C	PTC4	852422
YPL216W	YPL216W_mRNA	YPL216W		855885
YOR290C	YOR290C_mRNA	YOR290C	SNF2	854465
YEL012W	YEL012W_mRNA	YEL012W	UBC8	856704
YLR179C	YLR179C_mRNA	YLR179C		850876
YDR297W	YDR297W_mRNA	YDR297W	SUR2	851891
YBR191W	YBR191W_mRNA	YBR191W	RPL21A	852489
